Id,City,Date,Channel,Pincode,Merchant Name,Delivery Charge,Min Order,Product Name,Product ID,Product URL,Rating,Stock Status,Food Type,Discount,FSSAI License,Net Weight,Packaging,Shelf Life,Type,Brand,Price,Weight,Delivery Type,Quantity Sold
77b24941-c2c7-4434-a233-1eec866e65ef,Hyderabad,16-04-2024,In-Store,849225,Blinkit,24.6,402.85,Juice,c86f59bd,https://blinkit.com/product/8306,4.5,Out of Stock,Non-Vegetarian,22%,8.11297E+11,285g,Plastic,8 months,Grocery,Tropicana,253.07,341g,Express,26
7c7b63d6-de9d-43d8-bc96-ad6c82e61e25,Ahmedabad,05-04-2024,App,617676,Blinkit,30.64,291.97,,1de49c14,https://blinkit.com/product/8189,3.8,Out of Stock,Non-Vegetarian,26%,3.58751E+11,450g,Paper,8 months,Grocery,Mother Dairy,43.04,226g,Express,5
0d74756d-db01-4878-b10c-d798a6f32c6f,Delhi,31-07-2024,Online,721635,Blinkit,47.91,287.93,Fruits,9e82a403,https://blinkit.com/product/5211,,In Stock,Non-Vegetarian,20%,6.26432E+11,949g,Tetra Pack,8 months,Beverages,Tropicana,319.54,404g,Express,64
6ad4f1a8-9fc1-4cd0-bf2e-5fbd21e44da3,Kolkata,21-08-2024,App,151887,,36.1,378.63,Cheese,7767e405,https://blinkit.com/product/8964,3,,Vegetarian,,7.24842E+11,914g,Paper,23 months,Grocery,Real,109.73,294g,Express,36
b75cf934-cf6b-43d1-b169-8b73f10ce9f8,Hyderabad,19-07-2024,Online,682354,Blinkit,26.07,440.11,Milk,6ff7ff8b,https://blinkit.com/product/1588,5,,Vegetarian,7%,6.81414E+11,,Plastic,18 months,Grocery,Britannia,97.08,303g,Express,99
fc74e2a4-6935-4803-ac97-4a1db9ebe636,Chennai,03-10-2024,,687154,Blinkit,39.05,478.37,Eggs,b1aa6a8a,https://blinkit.com/product/2960,3.5,In Stock,Vegetarian,39%,4.66266E+11,740g,Glass Bottle,11 months,Dairy,Nestle,230.13,927g,Express,19
92112ecc-c72d-4816-91db-ab6a259a7a50,Delhi,18-04-2024,In-Store,393433,Blinkit,35.65,225.26,Juice,b417bb93,https://blinkit.com/product/4981,,In Stock,Non-Vegetarian,29%,1.37941E+11,402g,Glass Bottle,14 months,Snacks,Mother Dairy,461.81,,Standard,17
b68e651b-b44a-4ffc-948e-edd1e07f6b59,Ahmedabad,26-12-2024,In-Store,413420,Blinkit,36.79,238.03,Milk,25d58039,https://blinkit.com/product/9611,1.6,In Stock,Vegetarian,22%,6.70167E+11,872g,Tetra Pack,5 months,Snacks,Nestle,49.37,510g,Standard,29
5ba255c3-2b37-4ecd-bf93-e2a71e4e5531,Pune,13-09-2024,Online,299370,Blinkit,16.56,383.93,Juice,1f78a048,https://blinkit.com/product/9063,4.3,In Stock,Vegetarian,5%,4.56334E+11,968g,Tetra Pack,3 months,Bakery,,495.83,634g,Standard,72
85d7eb89-d1b2-472e-9684-9ca40af17d4f,Mumbai,25-05-2024,,749921,Blinkit,37.45,236.54,Juice,f3e33b69,https://blinkit.com/product/2135,4.5,In Stock,Non-Vegetarian,12%,4.79809E+11,477g,,17 months,,Real,443.95,747g,Express,54
6e6dae16-38c5-4573-813e-c005fb9f66b5,Hyderabad,21-12-2024,Online,256962,Blinkit,26.78,206.42,Bread,20c670db,,1.6,Out of Stock,Vegetarian,20%,9.20853E+11,704g,Paper,17 months,Beverages,Amul,179.74,588g,Express,16
8baae507-fe74-420e-b784-7524a895a81a,Chennai,07-07-2024,Online,299370,Blinkit,18.88,309.62,,ba500850,https://blinkit.com/product/8498,3.7,Out of Stock,Vegetarian,17%,7.04177E+11,982g,Glass Bottle,10 months,Beverages,Nestle,488.62,103g,Standard,28
4a6f70c5-0e89-420a-b9a3-604d5cc2c288,Mumbai,21-04-2024,In-Store,461394,Blinkit,32.81,327.24,Eggs,60f66fe1,https://blinkit.com/product/5609,1.7,In Stock,Vegetarian,49%,5.50222E+11,408g,Plastic,13 months,Beverages,Nestle,191.74,346g,Standard,1
708cac0a-e60d-495c-9402-eee4bb1d66fe,Bangalore,24-08-2024,App,295791,Blinkit,37.11,346.57,Milk,b2a442e4,https://blinkit.com/product/7282,3,In Stock,Non-Vegetarian,24%,2.41212E+11,270g,Tetra Pack,16 months,Snacks,Britannia,265.73,344g,Standard,18
900e5011-01eb-4b29-a67f-da8f63214cdb,Bangalore,15-04-2024,App,798626,Blinkit,24.26,261.11,Eggs,ae3ff810,https://blinkit.com/product/9470,4,Out of Stock,Non-Vegetarian,,6.70587E+11,585g,Paper,16 months,Snacks,Amul,462.5,964g,,94
676b3eb7-cfc2-4b15-b4b9-d113c6af8201,Hyderabad,06-06-2024,App,298329,Blinkit,17.76,,,f4ede51e,https://blinkit.com/product/1425,,Out of Stock,Vegetarian,6%,1.05244E+11,707g,Tetra Pack,11 months,Beverages,Tropicana,337.2,885g,Standard,50
2540e57b-92d4-48ba-8ad4-0a28af74444c,Kolkata,13-04-2024,App,687154,Blinkit,12.39,269.16,Cheese,3c6ca1e0,https://blinkit.com/product/8269,2.3,,Non-Vegetarian,23%,7.76558E+11,881g,Paper,11 months,Fruits & Vegetables,Real,277.27,403g,Express,36
2eb3088a-71cf-45a7-be22-fbb6431aaff0,Bangalore,03-12-2024,In-Store,721635,Blinkit,10.64,108.02,Snacks,84d8dc61,https://blinkit.com/product/2604,1.4,In Stock,Vegetarian,44%,3.66802E+11,851g,,4 months,Grocery,Real,99.81,488g,Express,30
476a7a2a-6b65-47de-8451-164d7a9c7cd8,Ahmedabad,16-05-2024,Online,793774,Blinkit,43.62,,Juice,9f54da41,https://blinkit.com/product/2622,2.9,In Stock,Non-Vegetarian,,3.80028E+11,720g,Glass Bottle,5 months,Bakery,,449.76,902g,Standard,62
4969c56e-edd0-454c-9b61-ba3fe10c4b13,Pune,05-06-2024,In-Store,950536,,18.56,,Eggs,60cca034,https://blinkit.com/product/4050,4.8,,Non-Vegetarian,29%,4.00563E+11,953g,Plastic,7 months,Fruits & Vegetables,Amul,429.92,519g,Standard,26
c0a09a8e-c822-4e27-bcbd-ff96aa4272ef,Mumbai,,In-Store,276976,Blinkit,35.6,,Vegetables,,https://blinkit.com/product/9617,4.4,Out of Stock,Vegetarian,7%,,609g,Paper,17 months,Snacks,Kellogg's,172.79,708g,Standard,89
600a179a-2ddb-46b1-8894-089efd77b950,Hyderabad,29-06-2024,Online,273054,,28.28,459.93,Eggs,fc1a8481,https://blinkit.com/product/1540,2,In Stock,Non-Vegetarian,16%,2.8974E+11,635g,Paper,15 months,Grocery,Amul,61.68,674g,Express,17
6bb9da17-d578-4dcd-bce5-3de0390864d0,Hyderabad,15-06-2024,App,950536,Blinkit,49.52,125.3,Eggs,841f5711,https://blinkit.com/product/7307,3.6,Out of Stock,Vegetarian,12%,1.82548E+11,451g,Tetra Pack,7 months,Dairy,Amul,372.05,463g,Express,1
f999b0cb-11b4-45d8-82ea-ea8365acbbcb,Chennai,19-12-2024,App,955026,Blinkit,37.41,436.03,Butter,9e296a59,https://blinkit.com/product/8556,2.2,In Stock,Non-Vegetarian,7%,2.37025E+11,222g,Tetra Pack,12 months,Bakery,Nestle,463.53,184g,Express,25
343973a7-6108-40c9-b377-3cf013205736,Delhi,29-07-2024,Online,950536,Blinkit,38.25,395.04,Vegetables,9503baf8,https://blinkit.com/product/7918,2.8,Out of Stock,Vegetarian,40%,8.36324E+11,745g,Paper,22 months,Snacks,Nestle,127.93,,Express,84
0917941a-85fb-450b-8dc3-6dcee795f50b,Delhi,11-05-2024,Online,413420,Blinkit,41.77,131.91,Vegetables,9404e68b,https://blinkit.com/product/2739,2.1,Out of Stock,Non-Vegetarian,27%,1.85305E+11,682g,Paper,13 months,Dairy,Amul,445.45,908g,Express,40
710f6e41-5d83-428e-a010-86f553c5780c,Hyderabad,17-09-2024,App,215317,Blinkit,42.97,117.15,Snacks,63cf54b5,https://blinkit.com/product/5229,4.5,In Stock,Vegetarian,32%,1.62806E+11,562g,Paper,15 months,Bakery,,465.87,,Express,100
351bab8e-59a8-4a04-82ed-c0a352f5c2c1,Ahmedabad,08-08-2024,App,406604,Blinkit,31.02,334.03,Juice,2798226d,,4.4,Out of Stock,Non-Vegetarian,22%,1.20261E+11,493g,Tetra Pack,15 months,Fruits & Vegetables,Nestle,197.89,988g,Express,71
92800ab4-e4eb-4d98-9813-81e6851dd874,Hyderabad,25-10-2024,In-Store,908837,Blinkit,20.91,133.78,Cereal,c1c8dd3f,https://blinkit.com/product/8631,3.1,In Stock,Non-Vegetarian,21%,3.65259E+11,534g,Tetra Pack,11 months,Snacks,Britannia,477.97,939g,Express,7
deac154f-40b1-4514-8115-2ef2b6b07b51,Bangalore,18-09-2024,In-Store,393986,Blinkit,13.92,441.55,Juice,,https://blinkit.com/product/5060,3.4,In Stock,Vegetarian,9%,5.6764E+11,820g,Paper,4 months,Snacks,Amul,172.83,139g,Standard,67
,Chennai,14-12-2024,App,413420,Blinkit,21.7,256.06,Snacks,54aebd96,https://blinkit.com/product/5414,1.1,Out of Stock,Vegetarian,5%,7.23432E+11,,Plastic,23 months,Grocery,Nestle,478.6,569g,Express,12
06ca6f0e-4520-4cb9-808b-462f4577352e,Ahmedabad,11-12-2024,App,795929,Blinkit,31.42,307.61,Cereal,3bccc4a2,https://blinkit.com/product/4221,3.1,,Vegetarian,13%,2.06554E+11,771g,Paper,7 months,Bakery,Mother Dairy,115.35,397g,Standard,40
ec101b90-3d32-4afe-9ea2-30dd53df7bbf,Pune,30-04-2024,Online,711567,Blinkit,14.73,278.66,Eggs,bd039bce,https://blinkit.com/product/8132,2.6,In Stock,Vegetarian,49%,6.76773E+11,421g,Plastic,15 months,Grocery,Tropicana,58.99,240g,Standard,13
41370504-3c36-498e-86aa-59e461164334,Delhi,06-05-2024,In-Store,908837,Blinkit,30.89,257.75,Eggs,41703099,https://blinkit.com/product/2139,3.7,In Stock,Vegetarian,17%,9.70126E+11,521g,Paper,20 months,Beverages,Britannia,32.19,763g,Express,55
e057f0cb-cf3a-43f9-9a52-e38d3b37122c,Chennai,17-08-2024,In-Store,845150,Blinkit,49.93,136.14,Milk,4655f933,https://blinkit.com/product/4702,1.5,In Stock,Non-Vegetarian,23%,1.01284E+11,737g,Glass Bottle,8 months,Beverages,,,407g,Standard,31
95d49ce0-8d76-4829-8af7-eb7d182305f1,Hyderabad,30-07-2024,In-Store,106002,Blinkit,35.09,424.62,Vegetables,501ab641,https://blinkit.com/product/6673,4.6,Out of Stock,Vegetarian,18%,3.92401E+11,307g,Paper,16 months,Grocery,Amul,264.24,387g,Standard,31
56c9074c-67d2-4b9d-9e9c-43fde86dfd55,Chennai,07-07-2024,In-Store,883737,Blinkit,37.86,179.15,Cereal,e2082af1,https://blinkit.com/product/2012,3.1,Out of Stock,Non-Vegetarian,46%,4.06131E+11,529g,Tetra Pack,15 months,,Tropicana,98.78,687g,Standard,78
4e37235c-c68b-455f-b5b7-a97d84928d2c,Ahmedabad,24-11-2024,Online,108804,,40.94,461.46,Butter,24bbf29f,https://blinkit.com/product/1814,1.3,In Stock,Vegetarian,21%,3.75591E+11,266g,Tetra Pack,19 months,Beverages,Tropicana,78.84,370g,Standard,72
70d06740-26cb-48af-a55e-c7ac93a51143,Kolkata,18-10-2024,In-Store,654993,Blinkit,43.7,434.79,Juice,87ef0922,https://blinkit.com/product/2216,1.5,Out of Stock,Vegetarian,,6.69583E+11,622g,Plastic,12 months,Bakery,Kellogg's,114.43,405g,Standard,48
c493a7bd-049e-4944-b6b3-28c854f4d31c,Pune,07-12-2024,App,430266,Blinkit,40.58,445.88,Vegetables,3dfbfca9,https://blinkit.com/product/8839,1.6,In Stock,Non-Vegetarian,49%,7.50943E+11,614g,Tetra Pack,9 months,Grocery,Tropicana,20.11,958g,Express,60
b20b300d-f196-4cf7-a819-0e5e985212ba,Hyderabad,11-08-2024,In-Store,651196,Blinkit,25.75,444.22,Fruits,632158f1,https://blinkit.com/product/2867,4.8,In Stock,Vegetarian,32%,4.9093E+11,,Tetra Pack,4 months,Bakery,Amul,337,983g,Express,36
16310189-9c2e-4c2b-9ca6-51feea27c55d,Chennai,19-07-2024,Online,195687,Blinkit,41.77,185.35,Bread,69c46693,https://blinkit.com/product/2362,4.9,In Stock,Non-Vegetarian,39%,9.59601E+11,386g,Tetra Pack,6 months,Bakery,Kellogg's,216.31,422g,Standard,36
